10000 30000
2538 4625 26
2538 1980 74
2538 321 36
2539 2415 167
2539 6405 60
2540 8675 54
2540 6180 168
2540 8210 70
2541 216 54
2541 1359 109
2541 8833 93
2541 4749 27
2542 4192 94
2542 6371 130
2543 3241 29
2543 8195 177
2544 7952 198
2544 7427 68
2544 8624 119
2545 687 24
2545 4255 73
2546 1915 102
2546 5534 161
2546 2335 97
2546 9036 131
2547 1536 99
2547 8005 25
2547 605 39
2547 1622 46
2548 9007 80
2548 3191 42
2548 9716 23
2548 7843 177
2549 294 139
2549 1692 126
2549 3943 133
2550 1310 63
2550 696 36
2551 2616 1
2551 1554 196
2551 8974 96
2551 8255 97
2552 2877 95
2552 7397 134
2553 7881 15
2553 5861 53
2553 677 184
2553 1756 61
2554 8473 104
2554 753 130
2554 1263 175
2555 773 101
2555 8248 54
2556 7510 99
2556 3366 65
2556 2940 31
2557 2094 168
2557 4894 187
2558 6295 139
2558 3409 75
2558 4838 144
2559 1335 139
2559 2510 104
2559 8506 83
2560 173 140
2560 7707 9
2560 64 94
2560 1670 164
2561 4789 129
2561 6670 57
2562 8687 2
2562 3580 176
2562 5418 83
2563 8581 63
2563 7021 159
2563 6965 116
2563 3823 158
2564 1785 47
2564 8041 74
2565 8365 12
2565 7241 171
2566 6394 142
2566 1858 111
2567 4031 187
2567 1122 44
2568 4961 92
2568 3494 28
2568 7352 9
2568 9824 109
2569 8235 141
2569 7865 175
2570 5011 176
2570 5836 162
2570 5026 71
2571 9804 191
2571 9761 2
2571 1942 98
2571 8658 11
2572 2172 84
2572 6126 22
2572 7170 19
2573 4946 43
2573 797 68
2574 7851 175
2574 9004 36
2575 2979 170
2575 7878 94
2575 6268 158
2576 9503 24
2576 9370 97
2576 5781 150
2577 5878 122
2577 7303 178
2577 1721 88
2578 6324 133
2578 568 33
2578 9815 51
2578 969 159
2579 3062 135
2579 5625 72
2579 2725 39
2579 7464 128
2580 4469 116
2580 4150 187
2580 5114 82
2581 3871 94
2581 287 84
2582 8854 116
2582 5918 166
2582 3752 120
2582 4255 56
2583 6829 11
2583 2877 116
2583 7342 113
2583 4768 68
2584 4430 157
2584 854 96
2584 4314 81
2584 9278 193
2585 8756 154
2585 5774 38
2586 3986 122
2586 2930 145
2586 6573 91
2586 4042 164
2587 5090 129
2587 9111 6
2588 7966 108
2588 2869 73
2589 7728 147
2589 6086 52
2589 5638 154
2589 858 182
2590 5194 120
2590 2536 157
2590 1103 146
2591 6166 146
2591 574 142
2591 7794 86
2592 7538 177
2592 737 100
2592 4134 78
2592 3218 9
2593 3404 126
2593 8509 177
2593 3388 163
2594 5973 112
2594 5875 77
2595 4804 125
2595 8461 7
2595 2682 42
2596 6591 28
2596 2988 151
2597 7640 59
2597 184 195
2598 1305 113
2598 3445 100
2598 5273 80
2599 1897 134
2599 1379 163
2600 9560 113
2600 7375 96
2601 2275 135
2601 5902 67
2601 5979 187
2602 2660 139
2602 8474 114
2603 2951 28
2603 3022 43
2603 7398 185
2604 9791 106
2604 4495 104
2604 3087 87
2605 7219 31
2605 1110 59
2605 1704 182
2605 7318 56
2606 5144 137
2606 4555 47
2606 8417 119
2606 4754 119
2607 5878 31
2607 2360 168
2607 3042 18
2607 6206 127
2608 2626 155
2608 8715 15
2608 1896 69
2609 8099 107
2609 3675 11
2609 3546 166
2610 7268 200
2610 1949 50
2611 4075 75
2611 5775 179
2611 1352 15
2612 2507 103
2612 1473 123
2613 6086 59
2613 2388 175
2613 3048 109
2614 2157 175
2614 9624 107
2614 5623 77
2615 3774 31
2615 2874 54
2615 8373 186
2615 6033 131
2616 8956 146
2616 127 25
2616 8266 183
2616 3121 144
2617 6815 9
2617 5262 190
2617 9669 135
2617 9656 89
2618 5420 176
2618 4383 37
2619 3318 105
2619 8702 40
2619 8775 166
2620 485 115
2620 7334 136
2621 6706 131
2621 1987 182
2621 6536 18
2622 7097 107
2622 5638 57
2623 2132 99
2623 433 65
2624 684 38
2624 2204 91
2624 9869 122
2624 863 182
2625 2363 46
2625 2797 33
2625 2475 20
2625 9222 176
2626 9925 198
2626 3577 102
2627 5723 58
2627 4484 53
2628 2031 111
2628 4159 2
2629 5725 21
2629 3646 67
2630 1743 132
2630 3025 139
2630 3795 151
2631 6072 30
2631 2722 104
2631 188 164
2631 7464 60
2632 3814 59
2632 7469 141
2632 7368 109
2633 2980 69
2633 6897 99
2634 6398 0
2634 6866 187
2634 3785 19
2634 6728 14
2635 8554 139
2635 9280 74
2635 8820 139
2636 9843 186
2636 5874 56
2636 407 144
2637 9997 50
2637 333 168
2637 1920 21
2637 6288 171
2638 3407 62
2638 6824 103
2639 4442 156
2639 4761 20
2639 2593 194
2639 4314 158
2640 8220 183
2640 7962 158
2641 884 131
2641 6617 8
2641 1978 69
2642 5370 55
2642 1938 140
2642 4672 41
2642 1259 162
2643 6578 164
2643 4618 197
2643 2872 40
2644 7405 34
2644 5565 122
2644 4647 149
2645 7843 106
2645 6226 53
2645 9469 127
2646 8258 20
2646 5057 12
2646 7998 176
2647 2914 83
2647 3700 142
2648 231 100
2648 9542 89
2648 560 152
2649 8390 158
2649 6820 73
2649 1061 163
2649 7788 198
2650 1937 1
2650 4602 159
2650 9575 134
2650 9706 122
2651 1152 155
2651 5591 94
2651 1029 74
2652 8523 144
2652 2236 200
2652 5016 167
2653 5782 136
2653 8235 199
2653 161 100
2653 3500 85
2654 4223 7
2654 5369 57
2654 9937 152
2654 1793 56
2655 1281 42
2655 3626 87
2655 9373 35
2656 6431 28
2656 6456 104
2656 3569 42
2656 4482 49
2657 7575 186
2657 2139 110
2657 7618 156
2658 9250 101
2658 6949 114
2658 6161 94
2658 5913 149
2659 8280 175
2659 9291 142
2659 8841 11
2660 2507 100
2660 6138 10
2660 512 6
2660 4235 119
2661 6381 185
2661 3075 91
2661 7376 94
2662 7076 52
2662 6432 87
2662 9254 63
2662 4320 2
2663 5944 146
2663 4835 45
2663 2434 80
2664 4251 181
2664 9116 62
2664 4409 38
2665 7239 46
2665 4700 37
2665 833 118
2666 7768 54
2666 711 140
2666 370 40
2667 5713 50
2667 8086 86
2667 4853 175
2667 5886 55
2668 5951 77
2668 748 198
2669 7523 72
2669 8794 89
2669 1614 89
2670 271 102
2670 1693 99
2671 7351 95
2671 2937 92
2672 2693 191
2672 6526 78
2672 891 5
2672 9814 123
2673 8036 162
2673 4188 172
2673 4190 38
2673 4976 189
2674 5304 99
2674 9715 177
2674 9420 17
2674 2289 73
2675 9177 140
2675 7350 47
2675 5976 158
2675 9492 138
2676 8909 191
2676 7423 99
2677 2966 179
2677 456 83
2677 103 100
2677 7370 81
2678 1092 164
2678 7331 182
2678 5025 18
2678 8645 27
2679 501 187
2679 4582 126
2679 1850 94
2679 1844 178
2680 7363 46
2680 756 5
2680 5110 37
2680 1317 142
2681 8333 43
2681 1359 134
2681 8491 23
2682 226 69
2682 3416 161
2683 8451 93
2683 326 194
2683 6038 50
2683 9116 29
2684 8076 72
2684 1582 30
2685 5145 96
2685 5844 153
2685 9168 37
2685 569 166
2686 5748 177
2686 2929 135
2686 9113 132
2687 3472 131
2687 2222 105
2687 5319 54
2688 1846 32
2688 2028 56
2688 5331 200
2689 138 162
2689 4112 152
2689 3832 34
2689 8367 1
2690 6303 139
2690 6498 11
2690 3273 181
2691 7071 144
2691 6004 28
2691 4457 3
2692 610 62
2692 5541 125
2692 2630 128
2692 1062 160
2693 8747 24
2693 2842 180
2693 3057 99
2693 57 184
2694 1118 148
2694 8516 63
2694 722 116
2695 2665 0
2695 7395 124
2695 1057 56
2696 3081 192
2696 3864 103
2697 6409 135
2697 6747 168
2698 8239 12
2698 7730 9
2698 4423 102
2698 7671 127
2699 7156 39
2699 8248 113
2699 6351 107
2700 4673 47
2700 7269 8
2700 10000 79
2701 1171 157
2701 9136 111
2702 1243 45
2702 5954 112
2703 9766 58
2703 7880 10
2704 1886 121
2704 338 91
2704 594 51
2705 8141 52
2705 9061 20
2706 2745 71
2706 5650 30
2706 4985 50
2707 9748 198
2707 5992 65
2708 8845 168
2708 3831 28
2708 5260 143
2708 9577 157
2709 3196 11
2709 8098 56
2710 1689 24
2710 752 0
2710 600 66
2710 9739 200
2711 5435 138
2711 4811 57
2711 2132 58
2712 2605 150
2712 7330 100
2713 1463 149
2713 2110 93
2713 249 51
2714 1149 108
2714 2902 144
2714 9340 27
2715 3315 61
2715 7711 107
2715 9117 61
2716 188 49
2716 7535 200
2717 7109 69
2717 4352 77
2717 4982 176
2717 5675 163
2718 4045 88
2718 9399 116
2718 2739 180
2719 5437 68
2719 3916 87
2720 3042 26
2720 9351 179
2721 2101 29
2721 7244 45
2721 1925 175
2721 1621 103
2722 2435 51
2722 6762 41
2722 4527 7
2722 4091 0
2723 4793 179
2723 124 73
2723 617 14
2723 9679 8
2724 8025 21
2724 7083 118
2724 7558 129
2724 429 77
2725 857 35
2725 8971 111
2725 1341 194
2726 4192 197
2726 3574 67
2726 2408 112
2727 5534 199
2727 5324 0
2727 9253 41
2727 9422 0
2728 2194 158
2728 9828 109
2729 5830 95
2729 6439 64
2729 9967 30
2730 4981 181
2730 1426 172
2730 8676 37
2731 8457 165
2731 6768 102
2731 1257 113
2732 2551 153
2732 5597 142
2732 6195 85
2732 3573 149
2733 9228 159
2733 6427 154
2734 8653 156
2734 9588 174
2734 2547 200
2734 7199 100
2735 4328 185
2735 5618 117
2735 3061 198
2736 1697 75
2736 5606 2
2737 5244 181
2737 5197 183
2738 729 166
2738 1110 120
2738 7634 27
2739 4382 168
2739 6285 173
2740 1524 158
2740 6811 24
2740 5598 76
2741 7606 43
2741 1329 108
2742 5859 122
2742 8146 196
2742 1526 61
2742 5110 118
2743 2788 111
2743 7593 172
2743 7183 173
2744 3182 185
2744 4558 118
2744 2789 61
2744 1749 155
2745 4034 96
2745 8005 124
2746 863 46
2746 8080 62
2746 1744 95
2747 9580 64
2747 3790 103
2747 4720 93
2747 9742 175
2748 8559 167
2748 3224 169
2748 1574 191
2748 9334 134
2749 8992 26
2749 7605 43
2749 1630 126
2749 7945 155
2750 9380 157
2750 8582 0
2750 8810 139
2750 3149 44
2751 3487 103
2751 2525 13
2751 9856 130
2752 9189 90
2752 5176 190
2753 1150 92
2753 8241 7
2753 2110 200
2753 2336 137
2754 8098 167
2754 9967 141
2754 6851 161
2755 7363 184
2755 7556 35
2755 4228 61
2755 1717 85
2756 9922 3
2756 6483 100
2757 4433 80
2757 4870 139
2758 4739 123
2758 2961 108
2759 1432 145
2759 3324 20
2759 2910 22
2759 1900 23
2760 196 153
2760 663 69
2761 2417 78
2761 8785 39
2761 1169 169
2761 5325 132
2762 6771 50
2762 8438 155
2762 4408 148
2763 7009 122
2763 5121 65
2764 4027 79
2764 6554 21
2764 8608 109
2764 2424 106
2765 4163 45
2765 4481 150
2766 6760 114
2766 3439 11
2767 1074 133
2767 3836 57
2767 6840 146
2767 606 127
2768 9363 90
2768 6213 138
2768 9708 194
2768 988 84
2769 127 44
2769 971 83
2770 3592 111
2770 3599 23
2770 3239 11
2770 8573 128
2771 6064 157
2771 4160 194
2771 7793 17
2772 7800 155
2772 7829 92
2773 5362 86
2773 1197 16
2774 2725 68
2774 9987 13
2774 7489 190
2774 3688 195
2775 2316 55
2775 5530 98
2776 3276 63
2776 7409 25
2777 1659 188
2777 2636 21
2777 5689 193
2777 3995 74
2778 496 178
2778 5483 137
2778 8589 92
2778 6209 121
2779 6865 98
2779 8756 200
2780 4723 126
2780 3398 102
2780 7858 145
2781 149 117
2781 7709 191
2781 9895 4
2782 8512 21
2782 1898 99
2782 9694 95
2783 8920 112
2783 1913 70
2784 8316 87
2784 5167 30
2784 2569 116
2784 3413 186
2785 246 107
2785 5275 193
2785 7331 42
2786 429 88
2786 8217 185
2786 1203 34
2787 4994 93
2787 7594 88
2787 7181 160
2788 17 134
2788 809 152
2788 4676 121
2789 1742 185
2789 2899 158
2790 8933 89
2790 7755 12
2790 7035 115
2791 2322 79
2791 1170 72
2792 3340 16
2792 2033 51
2792 4618 45
2792 2999 107
2793 6094 19
2793 995 198
2794 557 130
2794 4565 1
2794 564 88
2795 3461 197
2795 5790 186
2796 5255 48
2796 3394 194
2797 5710 171
2797 3306 11
2798 1329 13
2798 6836 44
2799 8414 150
2799 3564 131
2800 622 126
2800 8866 123
2800 478 15
2801 5884 28
2801 7456 85
2801 1037 130
2801 8279 135
2802 3104 152
2802 1682 53
2802 8365 44
2803 747 197
2803 4498 168
2803 8823 142
2804 6598 41
2804 5477 122
2805 6115 175
2805 7765 124
2806 7274 81
2806 3078 118
2806 7488 138
2807 4009 125
2807 191 111
2808 9950 46
2808 8570 144
2808 4781 32
2808 3994 170
2809 9156 98
2809 9823 116
2810 2970 144
2810 9901 166
2810 1569 190
2811 8223 193
2811 7110 124
2812 5895 175
2812 1565 112
2813 5061 54
2813 7485 55
2813 3522 185
2813 871 192
2814 2756 192
2814 4969 79
2814 6103 68
2814 1434 62
2815 5329 101
2815 2071 188
2815 9947 169
2816 7736 157
2816 9729 166
2817 1313 184
2817 2811 121
2817 1534 167
2817 6043 182
2818 7990 28
2818 3015 192
2818 5525 150
2819 3729 59
2819 1278 149
2819 7486 86
2819 6033 66
2820 1410 149
2820 4803 24
2820 8641 107
2821 7738 98
2821 277 186
2821 944 153
2821 6229 156
2822 514 54
2822 2410 124
2822 1313 99
2822 7380 0
2823 1750 180
2823 2085 79
2823 1507 54
2824 7119 25
2824 6029 154
2824 6795 100
2825 1398 18
2825 3498 95
2825 7571 51
2825 8843 107
2826 1768 137
2826 8187 40
2826 1111 199
2826 9125 120
2827 3026 68
2827 4605 110
2827 3138 102
2828 6479 200
2828 2737 191
2828 5581 25
2828 968 123
2829 9885 74
2829 7765 149
2829 4176 109
2830 4569 163
2830 2343 124
2830 2514 23
2830 7547 118
2831 5500 43
2831 3774 117
2832 7317 119
2832 2536 178
2832 9804 83
2832 3309 142
2833 6375 83
2833 2274 105
2833 5091 104
2833 8297 148
2834 7851 174
2834 7990 182
2835 461 121
2835 52 69
2836 314 103
2836 2955 18
2836 9912 140
2836 1066 125
2837 5890 47
2837 342 136
2837 3147 168
2837 1724 135
2838 7138 101
2838 2070 192
2839 6559 182
2839 4295 127
2840 3389 189
2840 2324 123
2840 6383 130
2841 2062 190
2841 5373 136
2842 5914 55
2842 1968 158
2843 1472 56
2843 8667 181
2844 3446 47
2844 3567 54
2844 3721 54
2844 2008 30
2845 675 181
2845 7398 94
2845 6538 102
2846 3219 98
2846 8164 181
2846 1911 179
2846 7104 62
2847 9600 152
2847 967 119
2847 4696 158
2847 8236 197
2848 4956 179
2848 522 58
2849 4858 8
2849 5054 38
2850 8835 99
2850 6623 119
2851 5179 24
2851 9871 122
2851 3145 25
2852 3174 63
2852 7985 116
2852 5427 3
2853 737 72
2853 2593 161
2854 6148 104
2854 1052 77
2855 3814 60
2855 1735 130
2855 6021 159
2856 2574 28
2856 8094 188
2857 9091 69
2857 7710 93
2857 101 0
2857 9939 129
2858 2995 70
2858 5798 58
2859 4679 7
2859 8925 167
2859 4944 117
2859 8552 111
2860 9608 14
2860 1900 64
2860 5410 53
2861 8877 128
2861 7389 117
2862 2968 63
2862 8711 31
2863 4393 47
2863 4769 138
2863 989 82
2864 7923 140
2864 8913 26
2864 81 94
2865 5849 132
2865 7620 107
2866 3874 45
2866 9478 111
2867 9148 25
2867 9779 165
2867 5023 175
2867 5611 78
2868 6264 121
2868 5646 85
2868 218 40
2868 7912 120
2869 7697 36
2869 4355 143
2869 1617 59
2869 6349 166
2870 529 39
2870 1498 112
2870 8116 18
2870 1652 116
2871 2691 161
2871 4840 96
2871 1603 127
2871 3187 37
2872 4915 15
2872 8700 21
2872 9830 89
2873 8611 192
2873 3062 81
2873 5424 126
2873 8602 11
2874 3723 135
2874 8867 155
2875 1262 76
2875 71 197
2876 3560 94
2876 6887 108
2876 2591 85
2877 13 48
2877 6274 38
2878 2879 7
2878 8702 36
2878 7677 24
2878 9616 122
2879 3701 100
2879 8927 145
2879 2989 97
2880 2686 61
2880 562 79
2880 8726 192
2880 233 75
2881 5764 148
2881 2861 45
2881 4789 30
2882 4607 34
2882 4933 23
2883 3488 2
2883 7809 8
2884 7652 177
2884 4041 155
2884 9206 194
2885 6482 109
2885 8392 159
2886 7130 82
2886 7371 154
2886 2345 6
2887 3275 164
2887 6585 4
2887 6002 160
2887 2605 95
2888 1185 84
2888 2112 44
2888 5359 156
2888 8341 172
2889 7617 114
2889 7896 105
2890 8784 46
2890 8794 8
2890 4612 57
2890 5986 58
2891 253 164
2891 6583 114
2892 2283 172
2892 8523 177
2892 5861 22
2893 9511 59
2893 3231 4
2894 7477 23
2894 2254 169
2894 1748 82
2895 7853 40
2895 7570 16
2896 6129 61
2896 7570 41
2896 7765 169
2897 8834 28
2897 4698 173
2898 5708 177
2898 9980 200
2898 6562 187
2898 3915 178
2899 1743 65
2899 8993 134
2900 1234 60
2900 8686 65
2900 1893 58
2901 6153 176
2901 4082 73
2901 3264 199
2901 2950 39
2902 64 19
2902 63 164
2902 9237 180
2902 763 179
2903 2872 160
2903 1091 42
2904 6355 67
2904 8265 86
2904 6283 64
2904 2232 89
2905 7421 1
2905 3746 29
2905 3039 181
2905 5795 111
2906 8527 168
2906 2729 135
2907 1017 183
2907 5916 90
2907 4733 159
2907 6395 38
2908 7765 115
2908 1477 60
2909 3280 87
2909 2271 57
2909 6455 121
2910 199 66
2910 5979 8
2911 6556 69
2911 1210 156
2911 6069 28
2912 304 38
2912 8372 160
2912 9378 18
2913 8187 123
2913 4037 42
2913 4964 3
2913 8367 171
2914 9471 126
2914 1205 120
2914 5261 65
2914 2222 131
2915 4570 18
2915 8155 2
2915 2341 47
2916 5838 52
2916 3108 22
2917 6664 97
2917 4716 105
2917 7683 117
2918 9252 196
2918 3779 96
2918 9122 99
2919 1302 77
2919 5732 92
2919 4189 39
2919 3778 159
2920 6202 54
2920 9916 140
2920 5541 162
2920 2585 168
2921 5788 161
2921 347 166
2921 5466 61
2922 1210 60
2922 6991 67
2922 5504 3
2923 5478 153
2923 6709 106
2923 3489 181
2924 4652 87
2924 8991 64
2924 7450 154
2924 7509 24
2925 9694 23
2925 2086 175
2925 2974 182
2926 5311 57
2926 149 128
2927 1158 75
2927 8312 84
2927 2944 44
2928 2721 7
2928 5763 135
2928 9961 95
2928 579 63
2929 8437 11
2929 3096 11
2929 7275 31
2930 337 102
2930 1579 186
2930 2432 30
2930 6856 7
2931 5612 122
2931 679 185
2931 1521 107
2931 7924 179
2932 168 175
2932 5041 128
2933 4229 182
2933 6197 170
2934 6529 135
2934 2519 121
2934 3410 45
2935 5631 1
2935 7891 180
2935 6461 31
2936 4091 68
2936 5470 65
2936 4571 28
2936 8522 140
2937 4209 19
2937 3573 161
2938 827 144
2938 253 8
2939 8615 189
2939 9200 146
2939 2099 55
2939 5688 61
2940 812 100
2940 9184 76
2940 5474 195
2940 5969 200
2941 4278 95
2941 2617 103
2941 4599 124
2941 7103 118
2942 7292 172
2942 5970 154
2942 9450 70
2942 4487 119
2943 5 59
2943 3725 128
2943 5996 192
2944 9098 59
2944 6286 111
2944 3792 151
2944 8105 130
2945 4048 86
2945 2417 166
2946 4106 77
2946 7075 106
2947 8661 87
2947 4988 166
2947 4075 168
2947 3330 45
2948 5146 65
2948 7840 179
2948 840 103
2949 6042 24
2949 3867 84
2949 5455 156
2949 5118 24
2950 3357 63
2950 2239 32
2950 816 46
2950 1892 149
2951 2955 21
2951 8483 172
2951 4057 77
2951 2965 95
2952 3083 168
2952 8654 104
2953 4468 35
2953 497 126
2953 9472 40
2953 3823 51
2954 7827 58
2954 6790 85
2954 866 107
2955 8943 123
2955 3054 41
2956 2300 73
2956 6935 192
2956 9756 186
2957 1905 200
2957 5987 137
2957 6755 83
2958 4654 193
2958 1545 20
2958 1329 63
2959 7390 29
2959 8962 29
2960 7249 168
2960 6727 5
2961 3072 140
2961 8214 70
2962 3262 188
2962 16 34
2962 1854 198
2962 7171 166
2963 3454 22
2963 9844 11
2963 6034 44
2963 6063 114
2964 8595 128
2964 3829 191
2965 3763 192
2965 1031 14
2966 5344 38
2966 7385 116
2967 4388 20
2967 1237 93
2967 5821 28
2968 1445 130
2968 3129 188
2968 6834 131
2968 7917 74
2969 9715 82
2969 7968 83
2970 1933 116
2970 1351 77
2970 7401 56
2971 4753 99
2971 886 71
2971 2107 136
2971 3644 139
2972 5432 145
2972 9794 145
2972 1732 169
2973 195 109
2973 1448 169
2973 4890 116
2974 4304 73
2974 1228 139
2974 1341 108
2975 7665 50
2975 7061 91
2975 2696 85
2976 8083 199
2976 4431 72
2976 3128 63
2976 2683 126
2977 410 48
2977 429 3
2977 1790 116
2977 2796 18
2978 988 85
2978 4357 17
2978 4587 27
2979 5676 93
2979 4587 11
2980 4648 6
2980 7198 92
2981 7078 62
2981 3525 171
2981 5414 88
2982 1725 65
2982 9671 118
2982 2995 123
2982 3216 98
2983 4429 183
2983 4795 56
2983 507 26
2984 7434 164
2984 6520 134
2985 8204 53
2985 4218 123
2986 1727 3
2986 8289 31
2986 5769 27
2987 1490 105
2987 757 49
2987 6682 107
2987 2247 136
2988 4589 152
2988 8558 48
2988 2841 141
2988 1718 162
2989 2098 40
2989 3577 142
2989 8960 170
2989 2423 109
2990 6283 185
2990 3514 126
2990 8377 106
2990 2870 33
2991 4248 5
2991 104 164
2992 7600 137
2992 3136 77
2992 1743 95
2993 5267 4
2993 7486 175
2993 9599 26
2993 5254 40
2994 9883 172
2994 9591 82
2994 2987 173
2995 8565 183
2995 8746 89
2996 1740 96
2996 1282 84
2997 9854 91
2997 1123 109
2998 1527 127
2998 5308 121
2998 5420 134
2998 2128 113
2999 2645 99
2999 8469 4
2999 1169 3
3000 1003 12
3000 7202 111
3000 2082 93
3001 746 184
3001 3250 157
3001 3362 9
3002 3273 102
3002 7782 39
3003 7383 137
3003 3715 87
3004 1632 79
3004 3136 0
3005 5734 26
3005 8924 158
3005 8953 200
3005 8487 80
3006 9141 158
3006 3806 72
3006 3636 39
3007 6672 155
3007 601 67
3008 6816 157
3008 2284 51
3009 2011 59
3009 3686 51
3010 7934 110
3010 5054 197
3010 396 160
3010 5440 143
3011 1279 35
3011 8584 193
3011 2880 196
3012 7753 99
3012 2843 7
3012 186 106
3013 4672 158
3013 7116 155
3014 489 147
3014 9985 29
3014 7790 41
3015 3484 161
3015 7026 114
3015 760 94
3016 7719 89
3016 8745 23
3016 7730 81
3017 2594 188
3017 1941 113
3017 1894 60
3018 8814 190
3018 8286 53
3019 4534 166
3019 3153 26
3019 8537 188
3020 4662 154
3020 8253 16
3021 2985 30
3021 2856 32
3021 5015 13
3021 63 11
3022 9654 92
3022 7197 0
3022 9173 139
3022 6375 40
3023 1827 41
3023 1949 138
3024 6945 129
3024 3658 138
3025 4203 149
3025 3813 171
3025 4122 27
3026 2942 111
3026 8151 178
3026 5057 153
3027 7315 107
3027 5736 29
3028 9285 108
3028 1898 15
3028 8946 191
3029 1698 84
3029 4121 31
3029 9688 158
3029 335 185
3030 7222 110
3030 735 119
3030 6000 81
3030 7463 79
3031 5440 127
3031 3579 151
3032 1886 41
3032 5309 43
3033 5213 162
3033 7305 197
3033 9960 147
3033 1754 170
3034 7548 186
3034 7000 17
3034 2254 65
3035 8670 157
3035 9077 137
3035 3156 18
3036 1423 21
3036 1933 117
3036 4150 66
3037 943 1
3037 805 65
3038 6502 78
3038 3200 126
3039 1280 85
3039 8083 34
3039 3173 52
3039 8219 149
3040 8322 97
3040 4570 31
3040 6575 33
3041 5764 166
3041 4934 46
3042 3601 104
3042 8624 69
3043 7400 24
3043 9466 84
3043 9825 133
3044 7961 19
3044 9636 69
3045 9870 9
3045 2473 90
3045 7284 123
3046 7932 125
3046 2345 178
3046 1592 198
3046 3665 10
3047 9958 84
3047 88 32
3047 3262 183
3047 9890 159
3048 3359 115
3048 8685 66
3049 7222 74
3049 6390 22
3050 6384 6
3050 3474 128
3050 4166 111
3051 736 8
3051 585 82
3052 6626 200
3052 7498 112
3052 9363 185
3053 2209 127
3053 976 173
3053 4413 12
3053 7072 168
3054 9837 21
3054 4756 36
3054 5886 117
3054 822 179
3055 3124 158
3055 6707 96
3055 8089 88
3056 4777 163
3056 1431 124
3056 3413 146
3056 7292 116
3057 6777 55
3057 4562 117
3057 7680 186
3058 152 169
3058 9337 134
3058 6598 69
3058 6045 17
3059 4020 127
3059 8621 181
3059 6079 1
3060 1390 29
3060 2317 116
3060 6958 126
3061 6004 156
3061 6237 89
3061 3479 185
3062 3955 77
3062 2163 134
3063 5500 145
3063 7634 194
3063 7873 197
3064 8730 69
3064 6512 106
3065 5876 200
3065 6529 37
3065 7439 3
3065 1260 49
3066 9031 70
3066 9658 102
3066 2520 64
3066 9202 74
3067 9637 8
3067 5398 24
3067 9798 98
3068 6532 136
3068 555 92
3068 5915 190
3069 1958 26
3069 9621 11
3070 112 99
3070 2510 124
3070 325 160
3071 9713 9
3071 2663 101
3071 305 163
3072 9509 150
3072 8400 132
3072 1159 179
3073 5117 160
3073 5695 100
3073 6116 123
3073 9533 188
3074 6811 116
3074 2825 192
3075 5568 106
3075 3857 168
3075 9705 96
3076 1447 181
3076 5609 109
3076 7415 2
3076 7526 143
3077 8126 186
3077 1230 159
3077 1475 48
3077 2564 72
3078 94 132
3078 4805 12
3078 9573 4
3079 2322 172
3079 3393 62
3079 7769 167
3079 4656 154
3080 9120 156
3080 7041 190
3080 5507 193
3081 260 101
3081 6738 118
3082 599 86
3082 8349 106
3082 1997 137
3082 2031 169
3083 3679 21
3083 3478 137
3083 9257 57
3083 215 60
3084 6561 34
3084 3989 94
3085 5434 138
3085 1082 166
3085 701 131
3085 2723 78
3086 7790 36
3086 3788 164
3086 9571 147
3087 133 108
3087 4009 113
3087 5414 94
3087 4125 137
3088 7424 41
3088 9321 95
3088 7591 124
3089 9954 41
3089 359 186
3089 7004 16
3090 3840 128
3090 5267 98
3090 2533 77
3090 5099 194
3091 7708 78
3091 3475 128
3091 7680 198
3091 4973 161
3092 9208 23
3092 8593 84
3092 1277 49
3093 3130 3
3093 2352 68
3093 5240 115
3093 5815 83
3094 4564 196
3094 2138 164
3094 1548 146
3095 5385 117
3095 9167 73
3096 5117 77
3096 8774 79
3096 819 164
3096 1574 38
3097 9675 170
3097 9561 139
3097 2072 101
3097 5102 136
3098 6084 7
3098 2594 185
3099 260 78
3099 9984 73
3099 6822 125
3099 7221 105
3100 3116 190
3100 8514 167
3100 8850 81
3101 8923 72
3101 7543 148
3101 1168 200
3101 4641 61
3102 4580 135
3102 2735 192
3102 6909 128
3102 3841 102
3103 6532 143
3103 7071 13
3103 9253 91
3104 3679 25
3104 5865 61
3104 1262 190
3104 8201 39
3105 471 159
3105 6419 199
3105 4193 147
3105 3595 2
3106 2096 184
3106 8735 164
3106 4765 10
3107 8784 86
3107 7108 72
3107 2465 1
3108 1988 152
3108 2540 119
3108 7205 82
3108 8877 60
3109 3391 175
3109 963 17
3109 4058 160
3109 3402 75
3110 5380 80
3110 6269 135
3110 3282 169
3111 4249 175
3111 8970 117
3112 3659 127
3112 9763 158
3112 3339 93
3112 8801 96
3113 2726 52
3113 540 22
3113 3801 180
3114 1903 63
3114 7445 54
3114 3730 57
3114 5090 128
3115 7676 39
3115 2966 17
3115 4673 52
3116 7662 145
3116 4816 147
3117 3931 10
3117 25 147
3117 3134 6
3117 9324 26
3118 1935 59
3118 7643 186
3118 6616 116
3119 5802 168
3119 7077 5
3120 8072 196
3120 8833 26
3120 9821 191
3120 4435 1
3121 5277 170
3121 4388 148
3122 3819 194
3122 7507 74
3122 1019 114
3122 193 150
3123 6312 164
3123 713 171
3124 7185 113
3124 680 18
3125 8594 8
3125 8026 110
3125 9996 96
3126 6939 29
3126 4502 0
3127 8802 156
